iso3,iso3n,ecoregion,eco_code,province,pro_code,realm,rlm_code
AUS,36,Lesser Sunda,20132,Western Coral Triangle,30,Central Indo-Pacific,6
IDN,360,Lesser Sunda,20132,Western Coral Triangle,30,Central Indo-Pacific,6
TLS,626,Lesser Sunda,20132,Western Coral Triangle,30,Central Indo-Pacific,6
CYP,196,Levantine Sea,25032,Mediterranean Sea,4,Temperate Northern Atlantic,2
EGY,818,Levantine Sea,25032,Mediterranean Sea,4,Temperate Northern Atlantic,2
GRC,300,Levantine Sea,25032,Mediterranean Sea,4,Temperate Northern Atlantic,2
ISR,376,Levantine Sea,25032,Mediterranean Sea,4,Temperate Northern Atlantic,2
LBN,422,Levantine Sea,25032,Mediterranean Sea,4,Temperate Northern Atlantic,2
LBY,434,Levantine Sea,25032,Mediterranean Sea,4,Temperate Northern Atlantic,2
PSE,275,Levantine Sea,25032,Mediterranean Sea,4,Temperate Northern Atlantic,2
SYR,760,Levantine Sea,25032,Mediterranean Sea,4,Temperate Northern Atlantic,2
TUR,792,Levantine Sea,25032,Mediterranean Sea,4,Temperate Northern Atlantic,2
COK,184,Line Islands,20155,Central Polynesia,39,Eastern Indo-Pacific,7
KIR,296,Line Islands,20155,Central Polynesia,39,Eastern Indo-Pacific,7
UMI,581,Line Islands,20155,Central Polynesia,39,Eastern Indo-Pacific,7
AUS,36,Lord Howe and Norfolk Islands,20151,Lord Howe and Norfolk Islands,36,Central Indo-Pacific,6
